aps.product.thumb.href,aps.product.thumb.src,nama-produk,harga,ukuran-layar,chipset,memori,ram,kamera,jenis,rating-hp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/vivo-y400-4g/,https://www.hallogsm.com/wp-content/uploads/2025/08/vivo-Y400-4G-300x300.webp,Vivo Y400 4G,Rp3.199.000,AMOLED 6.67 inci,Qualcomm SM6225 Snapdragon 685 (6 nm),128 GB / 256 GB,8 GB,"Belakang Dual 50 MP + 2 MP, Depan 8 MP",Android 15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/poco-m7-plus-5g/,https://www.hallogsm.com/wp-content/uploads/2025/08/Xiaomi-Poco-M7-Plus-5G-300x300.webp,Xiaomi Poco M7 Plus 5G,Rp2.399.000,IPS LCD 6.9 inci,Qualcomm SM6375 Snapdragon 6s Gen 3 (6 nm),128 GB,6 GB / 8 GB,"Belakang Dual 50 MP + 0.08 MP, Depan 8 MP",Android 15,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/xiaomi-poco-m7-4g/,https://www.hallogsm.com/wp-content/uploads/2025/08/Xiaomi-Poco-M7-300x300.webp,Xiaomi Poco M7 4G,Rp9.999.999,IPS LCD 6.9 inci,Qualcomm SM6225 Snapdragon 685 (6 nm),128 GB / 256 GB,6 GB / 8 GB,"Belakang Dual 50 MP + 0.08 MP, Depan 8 MP",Android 15,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/tecno-spark-go/,https://www.hallogsm.com/wp-content/uploads/2025/08/Tecno-Spark-Go-300x300.webp,Tecno Spark Go,Rp1.899.000,IPS LCD 6.74 inci,Mediatek Dimensity 6400 (6 nm),128 GB,4 GB,"Belakang 50 MP, Depan 5 MP",Android 15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/vivo-v60/,https://www.hallogsm.com/wp-content/uploads/2025/08/vivo-V60-1-300x300.webp,Vivo V60,Rp6.899.000,AMOLED 6.77 inci,Qualcomm SM7750-AB Snapdragon 7 Gen 4 (4 nm),128 GB / 256 GB / 512 GB,8 GB / 16 GB,"Belakang Triple 50 MP + 50 MP + 8 MP, Depan 50 MP",Android 15,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/honor-x7c/,https://www.hallogsm.com/wp-content/uploads/2025/08/Honor-X7c-300x300.webp,Honor X7c,Rp9.999.999,TFT LCD 6.8 inci,Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),256 GB,8 GB,"Belakang Dual 50 MP + 2 MP, Depan 5 MP",Android 15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/honor-x6c/,https://www.hallogsm.com/wp-content/uploads/2025/08/Honor-X6c-300x300.webp,Honor X6c,Rp2.299.000,TFT LCD 6.61 inci,Mediatek Helio G81 Ultra (12 nm),128 GB / 256 GB,6 GB / 8 GB,"Belakang Dual 50 MP + 0.08 MP, Depan 5 MP",Android 15,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/vivo-iqoo-z10-turbo-plus/,https://www.hallogsm.com/wp-content/uploads/2025/08/vivo-iQOO-Z10-Turbo-Plus-300x300.webp,Vivo iQOO Z10 Turbo Plus,Rp5.199.000,AMOLED 6.78 inci,Mediatek Dimensity 9400+ (3 nm),256 GB / 512 GB,12 GB / 16 GB,"Belakang Dual 50 MP + 8 MP, Depan 16 MP",Android 15,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/honor-400-pro/,https://www.hallogsm.com/wp-content/uploads/2025/08/Honor-400-Pro-300x300.webp,Honor 400 Pro,Rp10.399.000,AMOLED 6.7 inci,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),256 GB / 512 GB,12 GB,"Belakang Triple 200 MP + 50 MP + 12 MP, Depan Dual 50 MP + 2 MP",Android 15,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/infinix-hot-60i/,https://www.hallogsm.com/wp-content/uploads/2025/08/Infinix-Hot-60i-225x225.webp,Infinix Hot 60i,Rp1.499.000,IPS LCD 6.7 inci,Mediatek Helio G81 Ultimate (12 nm),128 GB / 256 GB,4 GB / 8 GB,"Belakang Dual 50 MP + 0.08 MP, Depan 8 MP",Android 15,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/infinix-gt-30/,https://www.hallogsm.com/wp-content/uploads/2025/08/Infinix-GT-30-300x300.webp,Infinix GT 30,Rp3.899.000,AMOLED 6.78 inci,Mediatek Dimensity 7400 (4 nm),128 GB / 256 GB,8 GB,"Belakang Dual 64 MP + 8 MP, Depan 13 MP",Android 15,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/honor-400-smart/,https://www.hallogsm.com/wp-content/uploads/2025/08/Honor-400-Smart-300x300.webp,Honor 400 Smart,Rp9.999.999,TFT LCD 6.77 inci,Qualcomm SM6375 Snapdragon 6s Gen 3 (6 nm),128 GB,4 GB,"Belakang Dual 50 MP + 2 MP, Depan 5 MP",Android 15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/xiaomi-redmi-15/,https://www.hallogsm.com/wp-content/uploads/2025/08/Xiaomi-Redmi-15-300x300.webp,Xiaomi Redmi 15,Rp3.999.000,IPS LCD 6.9 inci,Qualcomm SM6375 Snapdragon 6s Gen 3 (6 nm),128 GB,4 GB,"Belakang Dual 8 MP + 2 MP, Depan 8 MP",Android 15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/samsung-galaxy-a17/,https://www.hallogsm.com/wp-content/uploads/2025/08/Samsung-Galaxy-A17-1-300x300.webp,Samsung Galaxy A17,Rp4.399.000,Super AMOLED 6.7 inci,Exynos 1330 (5 nm),128 GB / 256 GB,4 GB / 8 GB,"Belakang Triple 50 MP + 5 MP + 2 MP, Depan 13 MP",Android 15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/infinix-smart-10-plus/,https://www.hallogsm.com/wp-content/uploads/2025/08/Infinix-Smart-10-Plus-300x300.webp,Infinix Smart 10 Plus,Rp1.499.000,IPS LCD 6.67 inci,Unisoc T7250 (12 nm),128 GB,4 GB / 8 GB,"Belakang 8 MP, Depan 8 MP",Android 15,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/infinix-smart-10-hd/,https://www.hallogsm.com/wp-content/uploads/2025/08/Infinix-Smart-10-HD-300x300.webp,Infinix Smart 10 HD,Rp1.199.000,IPS LCD 6.6 inci,Belum Diketahui,64 GB,2 GB,"Belakang 13 MP, Depan 8 MP",Android 14 (Go edition),7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/realme-note-70t/,https://www.hallogsm.com/wp-content/uploads/2025/08/Realme-Note-70T-300x300.webp,Realme Note 70T,Rp1.799.000,IPS LCD 6.74 inci,Unisoc T7250 (12 nm),64 GB / 128 GB / 256 GB,4 GB,"Belakang Dual 50 MP + 13 MP, Depan 5 MP",Android 15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/tecno-pova-7-ultra-5g/,https://www.hallogsm.com/wp-content/uploads/2025/08/Tecno-Pova-7-Ultra-5G-300x300.webp,Tecno Pova 7 Ultra 5G,Rp4.999.000,AMOLED 6.67 inci,Mediatek Dimensity 8350 Ultimate (4 nm),256 GB,12 GB,"Belakang Dual 108 MP + 8 MP, Depan 13 MP",Android 15,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/tecno-pova-7-pro-5g/,https://www.hallogsm.com/wp-content/uploads/2025/08/Tecno-Pova-7-Ultra-5G-300x300.webp,Tecno Pova 7 Pro 5G,Rp3.399.000,AMOLED 6.78 inci,Mediatek Dimensity 7300 Ultimate (4 nm),128 GB / 256 GB,8 GB / 12 GB,"Belakang Dual 64 MP + 8 MP, Depan 13 MP",Android 15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/tecno-pova-7-5g/,https://www.hallogsm.com/wp-content/uploads/2025/08/Tecno-Pova-7-Ultra-5G-300x300.webp,Tecno Pova 7 5G,Rp2.999.000,IPS LCD 6.78 inci,Mediatek Dimensity 7300 Ultimate (4 nm),128 GB / 256 GB,8 GB,"Belakang 50 MP, Depan 13 MP",Android 15,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/huawei-mate-70-rs-ultimate/,https://www.hallogsm.com/wp-content/uploads/2025/03/Huawei-Mate-70-RS-Ultimate-300x300.webp,Huawei Mate 70 RS Ultimate,Rp27.999.000,Dual-layer LTPO OLED 6.9 inci,Kirin 9020,512 GB / 1 TB,16 GB,"Belakang Triple 50 MP + 48 MP + 40 MP, Depan 13 MP",HarmonyOS 4.3,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/realme-p3-ultra-5g/,https://www.hallogsm.com/wp-content/uploads/2025/03/Realme-P3-Ultra-1-300x300.webp,Realme P3 Ultra 5G,Rp5.299.000,AMOLED 6.83 inci,Mediatek Dimensity 8350 Ultra (4 nm),128 GB / 256 GB,8 GB / 12 GB,"Belakang Dual 50 MP + 8 MP, Depan 16 MP",Android 15,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/samsung-galaxy-a26-5g/,https://www.hallogsm.com/wp-content/uploads/2025/03/Samsung-Galaxy-A26-5G-1-300x300.webp,Samsung Galaxy A26 5G,Rp5.199.000,Super AMOLED 6.7 inci,Exynos 1380 (5 nm),128 GB / 256 GB,6 GB / 8 GB,"Belakang Triple 50 MP + 8 MP + 2 MP, Depan 13 MP",Android 15,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/xiaomi-redmi-a5-4g/,https://www.hallogsm.com/wp-content/uploads/2025/03/Redmi-A5-2-300x300.webp,Xiaomi Redmi A5 4G,Rp1.199.000,IPS LCD 6.88 inci,Unisoc T7250 (12 nm),64 GB / 128 GB,4 GB / 6 GB,"Belakang Single 32 MP, Depan 8 MP",Android 15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/realme-p3/,https://www.hallogsm.com/wp-content/uploads/2025/03/Realme-P3-300x300.webp,Realme P3,Rp3.299.000,AMOLED 6.67 inci,Qualcomm Snapdragon 6 Gen 4 (4 nm),128 GB / 256 GB,6 GB / 8 GB,"Belakang Dual 50 MP + 2 MP, Depan 16 MP",Android 15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/lenovo-idea-tab-pro/,https://www.hallogsm.com/wp-content/uploads/2025/03/Lenovo-Idea-Tab-Pro-300x300.webp,Lenovo Idea Tab Pro,Rp5.299.000,IPS LCD 12.7 inci,Mediatek Dimensity 8300 (4 nm),128 GB / 256 GB,8 GB,"Belakang Single 13 MP, Depan 8 MP",Android 14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/xiaomi-redmi-note-14s/,https://www.hallogsm.com/wp-content/uploads/2025/03/Xiaomi-Redmi-Note-14S-300x300.webp,Xiaomi Redmi Note 14S,Rp4.299.000,AMOLED 6.67 inci,Mediatek Helio G99 Ultra,256 GB,8 GB,"Belakang Triple 200 MP + 8 MP + 2 MP, Depan 16 MP",Android 15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/samsung-galaxy-f16/,https://www.hallogsm.com/wp-content/uploads/2025/03/Samsung-Galaxy-F16-300x300.webp,Samsung Galaxy F16,Rp2.199.000,Super AMOLED 6.7 inci,Mediatek Dimensity 6300 (6 nm),128 GB,4 GB / 6 GB / 8 GB,"Belakang Triple 50 MP + 5 MP + 2 MP, Depan 13 MP",Android 15,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/htc-wildfire-e5-plus/,https://www.hallogsm.com/wp-content/uploads/2025/03/HTC-Wildfire-E5-Plus-300x300.webp,HTC Wildfire E5 Plus,Rp1.999.000,IPS LCD 6.75 inci,Unisoc T606 (12 nm),128 GB,6 GB,"Belakang Dual 50 MP + 2 MP, Depan 16 MP",Android 14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/vivo-y29s/,https://www.hallogsm.com/wp-content/uploads/2025/03/Vivo-Y04-300x300.webp,Vivo Y29s,Rp9.999.999,IPS LCD 6.74 inci,Mediatek Dimensity 6300 (6 nm),256 GB,8 GB,"Belakang Dual 50 MP + 0.08 MP, Depan 5 MP",Android 15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/vivo-y300i/,https://www.hallogsm.com/wp-content/uploads/2025/03/Vivo-Y300i-2-300x300.webp,Vivo Y300i,Rp3.399.000,IPS LCD 6.68 inci,Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),256 GB / 512 GB,8 GB / 12 GB,"Belakang Single 50 MP, Depan 5 MP",Android 15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/vivo-y04/,https://www.hallogsm.com/wp-content/uploads/2025/03/Vivo-Y04-300x300.webp,Vivo Y04,Rp1.699.000,IPS LCD 6.74 inci,Unisoc T7225 (12 nm),64 GB / 128 GB,4 GB,"Belakang Dual 13 MP + 0.08 MP, Depan 5 MP",Android 14,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/zte-nubia-focus-2-ultra/,https://www.hallogsm.com/wp-content/uploads/2025/03/ZTE-Nubia-Focus-2-Ultra-300x300.webp,ZTE Nubia Focus 2 Ultra,Rp5.399.000,AMOLED 6.8 inci,Unisoc T760 (6 nm),512 GB,8 GB,"Belakang Triple 50 MP + 2 MP + 0.08 MP, Depan 32 MP",Android 15,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/zte-nubia-focus-2/,https://www.hallogsm.com/wp-content/uploads/2025/03/ZTE-Nubia-Focus-2-1-300x300.webp,ZTE Nubia Focus 2,Rp2.699.000,IPS LCD 6.7 inci,Unisoc T760 (6 nm),256 GB,8 GB,"Belakang Triple 108 MP + 2 MP + 0.08 MP, Depan 16 MP",Android 15,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/zte-nubia-neo-3-gt/,https://www.hallogsm.com/wp-content/uploads/2025/03/Nubia-Neo-3-300x300.webp,ZTE Nubia Neo 3 GT,Rp4.499.000,AMOLED 6.8 inci,Unisoc T9100 (6 nm),256 GB,12 GB,Belum Diketahui,Android 15,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/zte-nubia-neo-3/,https://www.hallogsm.com/wp-content/uploads/2025/03/Nubia-Neo-3-300x300.webp,ZTE Nubia Neo 3,Rp3.499.000,AMOLED 6.8 inci,Unisoc T8300 (6 nm),128 GB,8 GB,"Belakang Dual 50 MP + 2 MP, Depan 16 MP",Android 15,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hallogsm.com/harga-hp/zte-nubia-flip2/,https://www.hallogsm.com/wp-content/uploads/2025/03/ZTE-Nubia-Flip2-300x300.webp,ZTE Nubia Flip2,Rp6.799.000,Foldable OLED 6.9 inci,Mediatek Dimensity 7300X (4 nm),128 GB / 256 GB / 512 GB,6 GB / 8 GB / 12 GB,"Belakang Dual 50 MP + 2 MP, Depan 32 MP",Android 14,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
